Product,Product_Link,Product_Image,Rating,Rating_Volumes,Price,Color_Type
boAt Rockerz 255 Pro+ with ASAP Charge and upto 40 Hours Playback Bluetooth Headset,https://www.flipkart.com/boat-rockerz-255-pro-asap-charge-upto-40-hours-playback-bluetooth-headset/p/itm569e59dc49154,https://rukminim1.flixcart.com/image/612/612/l31x2fk0/headphone/m/5/v/-original-image9ehhvpt8vzt.jpeg?q=70,4.2,"3,41,908","1,599","Teal Green, In the Ear"
Boult Audio AirBass Combuds Bluetooth Headset,https://www.flipkart.com/boult-audio-airbass-combuds-bluetooth-headset/p/itm930fff9f49371,https://rukminim1.flixcart.com/image/612/612/ku5ufm80/headphone/b/y/u/airbass-combuds-boult-audio-original-imag7cg3hxjhmega.jpeg?q=70,3.7,"1,10,467","1,299","Black, True Wireless"
"OnePlus Bullets Wireless Z2 with Fast Charge, 30 Hrs Battery Life, Earphones with mic Bluetooth Headset",https://www.flipkart.com/oneplus-bullets-wireless-z2-fast-charge-30-hrs-battery-life-earphones-mic-bluetooth-headset/p/itm1b9cd98911a2a,https://rukminim1.flixcart.com/image/612/612/l0sgyvk0/headphone/e/w/c/buds-z2-oneplus-original-imagcg5gfpcg5ndv.jpeg?q=70,4.1,"56,711","1,999","Magico Black, In the Ear"
"boAt Airdopes 131 with upto 15 Hours Playback, 13mm Drivers and IWP Technology Bluetooth Headset",https://www.flipkart.com/boat-airdopes-131-upto-15-hours-playback-13mm-drivers-iwp-technology-bluetooth-headset/p/itmf76c6f983fbca,https://rukminim1.flixcart.com/image/612/612/ksdjma80/headphone/o/f/c/airdopes-131-airdopes-138-boat-original-imag5yz96jehyqrg.jpeg?q=70,4.1,"9,07,758",999,"Active Black, True Wireless"
TECHFIRE Fire 500v2 Neckband hi-bass Wireless Bluetooth headphone Bluetooth Headset,https://www.flipkart.com/techfire-fire-500v2-neckband-hi-bass-wireless-bluetooth-headphone-headset/p/itme293721806e2c,https://rukminim1.flixcart.com/image/612/612/kxhvf680/headphone/g/3/e/fire-500v2-neckband-hi-bass-wireless-bluetooth-headphone-original-imag9x6r55mzmety.jpeg?q=70,4,"45,918",448,"Black, In the Ear"
Grostar Earbuds In-ear Sensor Bluetooth Touch Control Headset With Charging Case Bluetooth Headset,https://www.flipkart.com/grostar-earbuds-in-ear-sensor-bluetooth-touch-control-headset-charging-case/p/itme215745830e07,https://rukminim1.flixcart.com/image/612/612/l58iaa80/headphone/m/k/x/earbuds-in-ear-sensor-bluetooth-touch-control-headset-with-original-imagfyd7bgmgfatc.jpeg?q=70,3.5,"8,648",449,"White, True Wireless"
boAt Rockerz 255F Pro with Fast Charging Bluetooth Headset,https://www.flipkart.com/boat-rockerz-255f-pro-fast-charging-bluetooth-headset/p/itm724930da9528f,https://rukminim1.flixcart.com/image/612/612/ksw4ccw0/headphone/f/h/3/rockerz-255-pro-fast-charging-rockerz-255f-pro-boat-original-imag6cvfhacc9mrp.jpeg?q=70,4.1,"3,00,679","1,399","Teal Green, In the Ear"
Boult Audio AirBass GearPods with 32H Playtime Bluetooth Headset,https://www.flipkart.com/boult-audio-airbass-gearpods-32h-playtime-bluetooth-headset/p/itm116c0c010d463,https://rukminim1.flixcart.com/image/612/612/ktszgy80/headphone/i/t/w/airbass-gearpods-boult-audio-original-imag72hmzxqm9xxs.jpeg?q=70,3.7,"51,769","1,299","Black, True Wireless"
"boAt Airdopes 131 with upto 15 Hours Playback, 13mm Drivers and IWP Technology Bluetooth Headset",https://www.flipkart.com/boat-airdopes-131-upto-15-hours-playback-13mm-drivers-iwp-technology-bluetooth-headset/p/itmd5a5f3a979df6,https://rukminim1.flixcart.com/image/612/612/ksdjma80/headphone/p/8/k/airdopes-131-boat-original-imag5yzavdqcub9r.jpeg?q=70,4.1,"9,07,758",999,"Viper Green, In the Ear"
"boAt Airdopes 131 with upto 15 Hours Playback, 13mm Drivers and IWP Technology Bluetooth Headset",https://www.flipkart.com/boat-airdopes-131-upto-15-hours-playback-13mm-drivers-iwp-technology-bluetooth-headset/p/itm791b64335e2bf,https://rukminim1.flixcart.com/image/612/612/ksdjma80/headphone/q/u/f/airdopes-131-boat-original-imag5yz95hccezzd.jpeg?q=70,4.1,"9,07,758",999,"Crimson Cream, In the Ear"
boAt Rockerz 235v2/238 with ASAP Charge and upto 8 Hours Playback Bluetooth Headset,https://www.flipkart.com/boat-rockerz-235v2-238-asap-charge-upto-8-hours-playback-bluetooth-headset/p/itm67ea2c11bd71f,https://rukminim1.flixcart.com/image/612/612/kv9urgw0/headphone/t/h/u/-original-imag87kdvdhmaynm.jpeg?q=70,4.2,"15,04,866",899,"Black, In the Ear"
Boult Audio ProBass Curve Neckband Bluetooth Headset,https://www.flipkart.com/boult-audio-probass-curve-neckband-bluetooth-headset/p/itm3e1f7accb87d7,https://rukminim1.flixcart.com/image/612/612/ku5ufm80/headphone/4/z/o/curve-wireless-neckband-magnetic-earphone-with-mic-boult-audio-original-imag7cg3srkanhnk.jpeg?q=70,4,"3,69,251",899,"Black, Grey, In the Ear"
OnePlus Bullets Wireless Z2 Bluetooth Headset,https://www.flipkart.com/oneplus-bullets-wireless-z2-bluetooth-headset/p/itm7326ce69c6b07,https://rukminim1.flixcart.com/image/612/612/l0sgyvk0/headphone/m/b/c/buds-z2-oneplus-original-imagcg5stg9fzes6.jpeg?q=70,4.1,"56,711","1,999","Beam Blue, In the Ear"
